iter	Passed	Remaining
0	151	151528
1	153	76533
2	155	51734
3	157	39111
4	158	31549
5	160	26559
6	162	23015
7	163	20286
8	164	18145
9	165	16431
10	169	15245
11	170	14073
12	172	13097
13	174	12262
14	175	11521
15	176	10860
16	177	10284
17	179	9767
18	180	9311
19	183	8968
20	184	8595
21	185	8264
22	187	7961
23	188	7671
24	189	7403
25	191	7162
26	192	6936
27	193	6723
28	195	6556
29	197	6396
30	199	6226
31	200	6075
32	204	5986
33	205	5841
34	206	5703
35	208	5571
36	210	5478
37	212	5376
38	213	5264
39	215	5162
40	216	5064
41	217	4966
42	218	4872
43	220	4788
44	221	4706
45	222	4623
46	226	4590
47	227	4517
48	229	4445
49	230	4377
50	232	4325
51	233	4261
52	235	4199
53	236	4139
54	237	4084
55	241	4066
56	242	4017
57	244	3977
58	246	3928
59	247	3877
60	248	3828
61	250	3783
62	251	3738
63	252	3693
64	256	3689
65	257	3649
66	259	3608
67	260	3567
68	261	3528
69	262	3491
70	264	3455
71	265	3418
72	266	3382
73	267	3349
74	269	3323
75	270	3291
76	272	3264
77	273	3232
78	274	3201
79	275	3171
80	276	3141
81	278	3112
82	278	3079
83	279	3051
84	281	3025
85	283	3012
86	284	2988
87	285	2962
88	287	2938
89	288	2914
90	289	2892
91	290	2869
92	291	2846
93	293	2824
94	294	2803
95	295	2784
96	298	2776
97	299	2756
98	300	2735
99	301	2715
100	302	2695
101	303	2675
102	305	2656
103	306	2638
104	307	2620
105	308	2604
106	309	2586
107	312	2577
108	313	2562
109	314	2546
110	316	2532
111	317	2517
112	318	2502
113	319	2486
114	321	2470
115	322	2456
116	323	2440
117	324	2425
118	326	2419
119	328	2405
120	329	2391
121	330	2375
122	331	2362
123	332	2348
124	333	2336
125	334	2323
126	335	2308
127	337	2298
128	338	2285
129	339	2273
130	342	2270
131	343	2258
132	344	2246
133	345	2234
134	346	2223
135	348	2211
136	349	2200
137	350	2190
138	351	2180
139	353	2169
140	355	2163
141	356	2153
142	357	2143
143	358	2133
144	360	2123
145	361	2113
146	362	2102
147	363	2092
148	364	2083
